cellTime,cell,time,none,xGlobal,local,blot,cross,z,x,y,size,gweight
NA:-1,AB,1,-1,-1,-1,-1,-1,6.88,17.19,27.45,-1,-1
NA:-1,P1,1,-1,-1,-1,-1,-1,6.88,20.79,29.16,-1,-1
NA:-1,AB,2,-1,-1,-1,-1,-1,6.88,17.01,26.91,-1,-1
NA:-1,P1,2,-1,-1,-1,-1,-1,6.88,20.97,28.98,-1,-1
NA:-1,AB,3,-1,-1,-1,-1,-1,7.31,16.74,27.72,-1,-1
NA:-1,P1,3,-1,-1,-1,-1,-1,7.31,20.97,30.06,-1,-1
NA:-1,AB,4,-1,-1,-1,-1,-1,8.17,16.83,26.73,-1,-1
NA:-1,P1,4,-1,-1,-1,-1,-1,7.31,21.78,30.06,-1,-1
NA:-1,AB,5,-1,-1,-1,-1,-1,7.74,16.2,26.82,-1,-1
NA:-1,P1,5,-1,-1,-1,-1,-1,6.88,23.13,30.51,-1,-1
NA:-1,AB,6,-1,-1,-1,-1,-1,7.31,15.84,26.82,-1,-1
NA:-1,P1,6,-1,-1,-1,-1,-1,6.88,23.94,30.6,-1,-1
NA:-1,AB,7,-1,-1,-1,-1,-1,7.31,15.21,26.73,-1,-1
NA:-1,P1,7,-1,-1,-1,-1,-1,6.88,24.48,30.87,-1,-1
NA:-1,AB,8,-1,-1,-1,-1,-1,6.88,14.22,25.92,-1,-1
NA:-1,P1,8,-1,-1,-1,-1,-1,6.88,24.48,30.96,-1,-1
NA:-1,AB,9,-1,-1,-1,-1,-1,6.88,14.76,25.65,-1,-1
NA:-1,P1,9,-1,-1,-1,-1,-1,7.31,24.3,30.87,-1,-1
NA:-1,AB,10,-1,-1,-1,-1,-1,6.45,14.49,25.65,-1,-1
NA:-1,P1,10,-1,-1,-1,-1,-1,7.31,23.22,29.97,-1,-1
NA:-1,AB,11,-1,-1,-1,-1,-1,6.45,14.13,25.92,-1,-1
NA:-1,P1,11,-1,-1,-1,-1,-1,7.31,22.95,30.51,-1,-1
NA:-1,AB,12,-1,-1,-1,-1,-1,6.45,14.31,25.83,-1,-1
NA:-1,P1,12,-1,-1,-1,-1,-1,7.31,22.77,31.32,-1,-1
NA:-1,ABp,13,-1,-1,-1,-1,-1,6.88,15.93,24.3,-1,-1
NA:-1,ABa,13,-1,-1,-1,-1,-1,6.45,13.32,25.74,-1,-1
NA:-1,P1,13,-1,-1,-1,-1,-1,6.88,22.5,31.32,-1,-1
NA:-1,ABp,14,-1,-1,-1,-1,-1,6.45,16.65,24.57,-1,-1
NA:-1,ABa,14,-1,-1,-1,-1,-1,6.88,13.23,25.74,-1,-1
NA:-1,P1,14,-1,-1,-1,-1,-1,7.31,22.41,31.41,-1,-1
NA:-1,ABp,15,-1,-1,-1,-1,-1,7.31,17.64,24.93,-1,-1
NA:-1,ABa,15,-1,-1,-1,-1,-1,6.88,13.32,25.83,-1,-1
NA:-1,EMS,15,-1,-1,-1,-1,-1,6.88,20.16,31.32,-1,-1
NA:-1,P2,15,-1,-1,-1,-1,-1,6.88,23.49,32.04,-1,-1
NA:-1,ABp,16,-1,-1,-1,-1,-1,7.31,18.36,25.11,-1,-1
NA:-1,ABa,16,-1,-1,-1,-1,-1,6.88,12.87,25.47,-1,-1
NA:-1,EMS,16,-1,-1,-1,-1,-1,6.88,19.8,31.32,-1,-1
NA:-1,P2,16,-1,-1,-1,-1,-1,6.88,23.49,32.04,-1,-1
NA:-1,ABp,17,-1,-1,-1,-1,-1,6.88,18.72,24.84,-1,-1
NA:-1,ABa,17,-1,-1,-1,-1,-1,6.88,12.06,24.93,-1,-1
NA:-1,EMS,17,-1,-1,-1,-1,-1,6.88,19.53,31.59,-1,-1
NA:-1,P2,17,-1,-1,-1,-1,-1,6.88,24.57,31.86,-1,-1
NA:-1,ABp,18,-1,-1,-1,-1,-1,6.88,19.89,23.94,-1,-1
NA:-1,ABa,18,-1,-1,-1,-1,-1,6.88,11.52,24.03,-1,-1
NA:-1,EMS,18,-1,-1,-1,-1,-1,6.88,18.81,31.68,-1,-1
NA:-1,P2,18,-1,-1,-1,-1,-1,7.74,26.1,32.22,-1,-1
NA:-1,ABp,19,-1,-1,-1,-1,-1,6.88,20.52,24.48,-1,-1
NA:-1,ABa,19,-1,-1,-1,-1,-1,6.45,10.98,24.12,-1,-1
NA:-1,EMS,19,-1,-1,-1,-1,-1,6.88,17.91,31.77,-1,-1
NA:-1,P2,19,-1,-1,-1,-1,-1,7.31,26.19,32.58,-1,-1
NA:-1,ABp,20,-1,-1,-1,-1,-1,6.45,20.43,24.93,-1,-1
NA:-1,ABa,20,-1,-1,-1,-1,-1,6.88,11.16,24.21,-1,-1
NA:-1,EMS,20,-1,-1,-1,-1,-1,6.88,17.64,32.13,-1,-1
NA:-1,P2,20,-1,-1,-1,-1,-1,7.74,26.46,32.22,-1,-1
NA:-1,ABp,21,-1,-1,-1,-1,-1,6.45,20.07,24.48,-1,-1
NA:-1,ABa,21,-1,-1,-1,-1,-1,6.02,11.34,23.85,-1,-1
NA:-1,EMS,21,-1,-1,-1,-1,-1,6.88,17.37,32.58,-1,-1
NA:-1,P2,21,-1,-1,-1,-1,-1,7.31,26.55,31.14,-1,-1
NA:-1,ABp,22,-1,-1,-1,-1,-1,6.45,19.89,24.75,-1,-1
NA:-1,ABa,22,-1,-1,-1,-1,-1,6.88,11.52,23.4,-1,-1
NA:-1,EMS,22,-1,-1,-1,-1,-1,6.88,16.92,32.58,-1,-1
NA:-1,P2,22,-1,-1,-1,-1,-1,6.88,26.19,30.33,-1,-1
NA:-1,ABp,23,-1,-1,-1,-1,-1,6.45,19.53,25.56,-1,-1
NA:-1,ABa,23,-1,-1,-1,-1,-1,6.02,12.15,23.4,-1,-1
NA:-1,EMS,23,-1,-1,-1,-1,-1,6.88,16.11,32.31,-1,-1
NA:-1,P2,23,-1,-1,-1,-1,-1,6.88,25.83,29.88,-1,-1
NA:-1,ABp,24,-1,-1,-1,-1,-1,6.02,19.35,25.2,-1,-1
NA:-1,ABa,24,-1,-1,-1,-1,-1,5.59,11.88,24.03,-1,-1
NA:-1,EMS,24,-1,-1,-1,-1,-1,6.45,16.47,32.58,-1,-1
NA:-1,P2,24,-1,-1,-1,-1,-1,6.88,25.83,29.7,-1,-1
NA:-1,ABpr,25,-1,-1,-1,-1,-1,7.74,20.61,25.65,-1,-1
NA:-1,ABpl,25,-1,-1,-1,-1,-1,4.73,19.17,25.2,-1,-1
NA:-1,ABar,25,-1,-1,-1,-1,-1,8.17,12.87,22.5,-1,-1
NA:-1,ABal,25,-1,-1,-1,-1,-1,5.59,10.98,24.03,-1,-1
NA:-1,EMS,25,-1,-1,-1,-1,-1,7.74,16.29,32.22,-1,-1
NA:-1,P2,25,-1,-1,-1,-1,-1,5.59,24.84,30.78,-1,-1
NA:-1,ABpr,26,-1,-1,-1,-1,-1,8.17,21.87,25.83,-1,-1
NA:-1,ABpl,26,-1,-1,-1,-1,-1,4.73,19.98,24.75,-1,-1
NA:-1,ABar,26,-1,-1,-1,-1,-1,8.17,12.78,22.77,-1,-1
NA:-1,ABal,26,-1,-1,-1,-1,-1,6.45,10.62,25.02,-1,-1
NA:-1,EMS,26,-1,-1,-1,-1,-1,7.31,16.92,31.77,-1,-1
NA:-1,P2,26,-1,-1,-1,-1,-1,6.02,23.85,31.68,-1,-1
NA:-1,ABpr,27,-1,-1,-1,-1,-1,8.6,22.23,26.73,-1,-1
NA:-1,ABpl,27,-1,-1,-1,-1,-1,4.73,19.8,25.02,-1,-1
NA:-1,ABar,27,-1,-1,-1,-1,-1,8.6,13.59,23.13,-1,-1
NA:-1,ABal,27,-1,-1,-1,-1,-1,6.88,10.53,25.29,-1,-1
NA:-1,EMS,27,-1,-1,-1,-1,-1,6.88,17.1,31.5,-1,-1
NA:-1,P2,27,-1,-1,-1,-1,-1,5.59,23.04,32.13,-1,-1
NA:-1,ABpr,28,-1,-1,-1,-1,-1,9.03,22.14,27,-1,-1
NA:-1,ABpl,28,-1,-1,-1,-1,-1,4.3,19.71,24.93,-1,-1
NA:-1,ABar,28,-1,-1,-1,-1,-1,9.03,13.95,22.59,-1,-1
NA:-1,ABal,28,-1,-1,-1,-1,-1,6.45,10.17,25.11,-1,-1
NA:-1,MS,28,-1,-1,-1,-1,-1,7.31,15.75,31.05,-1,-1
NA:-1,E,28,-1,-1,-1,-1,-1,6.45,17.64,32.04,-1,-1
NA:-1,P2,28,-1,-1,-1,-1,-1,5.59,23.31,32.13,-1,-1
NA:-1,ABpr,29,-1,-1,-1,-1,-1,9.46,21.69,26.37,-1,-1
NA:-1,ABpl,29,-1,-1,-1,-1,-1,3.87,19.08,25.11,-1,-1
NA:-1,ABar,29,-1,-1,-1,-1,-1,9.46,14.4,22.05,-1,-1
NA:-1,ABal,29,-1,-1,-1,-1,-1,6.02,9.54,24.66,-1,-1
NA:-1,MS,29,-1,-1,-1,-1,-1,7.31,15.93,31.32,-1,-1
NA:-1,E,29,-1,-1,-1,-1,-1,6.88,18.99,32.49,-1,-1
NA:-1,P2,29,-1,-1,-1,-1,-1,6.45,24.3,31.5,-1,-1
NA:-1,ABpr,30,-1,-1,-1,-1,-1,9.46,21.24,25.92,-1,-1
NA:-1,ABpl,30,-1,-1,-1,-1,-1,3.87,18.27,25.47,-1,-1
NA:-1,ABar,30,-1,-1,-1,-1,-1,9.03,14.76,21.42,-1,-1
NA:-1,ABal,30,-1,-1,-1,-1,-1,5.59,9.36,24.3,-1,-1
NA:-1,MS,30,-1,-1,-1,-1,-1,7.74,15.57,31.59,-1,-1
NA:-1,E,30,-1,-1,-1,-1,-1,6.88,19.17,32.31,-1,-1
NA:-1,P2,30,-1,-1,-1,-1,-1,6.45,23.85,31.41,-1,-1
NA:-1,ABpr,31,-1,-1,-1,-1,-1,9.46,21.06,26.46,-1,-1
NA:-1,ABpl,31,-1,-1,-1,-1,-1,3.87,18.09,25.92,-1,-1
NA:-1,ABar,31,-1,-1,-1,-1,-1,9.03,15.75,21.51,-1,-1
NA:-1,ABal,31,-1,-1,-1,-1,-1,5.59,9.72,24.21,-1,-1
NA:-1,MS,31,-1,-1,-1,-1,-1,8.17,14.4,31.14,-1,-1
NA:-1,E,31,-1,-1,-1,-1,-1,6.88,19.35,32.31,-1,-1
NA:-1,C,31,-1,-1,-1,-1,-1,6.45,24.21,30.51,-1,-1
NA:-1,P3,31,-1,-1,-1,-1,-1,6.45,23.76,32.31,-1,-1
NA:-1,ABpr,32,-1,-1,-1,-1,-1,9.46,21.6,26.1,-1,-1
NA:-1,ABpl,32,-1,-1,-1,-1,-1,3.87,17.01,27.27,-1,-1
NA:-1,ABar,32,-1,-1,-1,-1,-1,8.17,16.02,21.33,-1,-1
NA:-1,ABal,32,-1,-1,-1,-1,-1,6.02,9,25.11,-1,-1
NA:-1,MS,32,-1,-1,-1,-1,-1,9.46,14.22,30.6,-1,-1
NA:-1,E,32,-1,-1,-1,-1,-1,6.88,20.16,31.95,-1,-1
